Isolate_Id	Isolate_Name	Subtype	Host	Location	Collection_Date	Domestic_Status
EPI_ISL_1009699	A/mandarin duck/Korea/WA831/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-11-25	
EPI_ISL_985179	A/duck/Korea/H338/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-11-26	
EPI_ISL_985180	A/chicken/Korea/H365/2020	A / H5N8	Avian	Asia / Korea, Republic of / GB	2020-12-01	
EPI_ISL_1009702	A/mandarin duck/Korea/WA877/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-01	
EPI_ISL_1009703	A/spot-billed duck/Korea/WA889/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-01	
EPI_ISL_1009705	A/mandarin duck/Korea/WA913/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-12-01	
EPI_ISL_1009706	A/wild bird/Korea/H379/2020	A / H5N8	Avian	Asia / Korea, Republic of / GB	2020-12-02	
EPI_ISL_985181	A/duck/Korea/H385/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-04	
EPI_ISL_985185	A/quail/Korea/H412/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-08	
EPI_ISL_985186	A/duck/Korea/H419/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-09	
EPI_ISL_985188	A/duck/Korea/H432/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-10	
EPI_ISL_985189	A/duck/Korea/H438/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-11	
EPI_ISL_985190	A/duck/Korea/H439/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-11	
EPI_ISL_985192	A/chicken/Korea/H441/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-12-14	
EPI_ISL_985195	A/chicken/Korea/H470/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-16	
EPI_ISL_985198	A/chicken/Korea/H491/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-21	
EPI_ISL_985200	A/duck/Korea/H509/2020	A / H5N8	Avian	Asia / Korea, Republic of / CB	2020-12-22	
EPI_ISL_1063533	A/Mandarin duck/Kagoshima/KU-d57/2020 	A / H5N8	Aix galericulata	Asia / Japan / Kagoshima	2020-12-22	Wild
EPI_ISL_985204	A/duck/Korea/H516/2020	A / H5N8	Avian	Asia / Korea, Republic of / JN	2020-12-23	
EPI_ISL_985209	A/chicken/Korea/H531/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-28	
EPI_ISL_985210	A/chicken/Korea/H532/2020	A / H5N8	Avian	Asia / Korea, Republic of / GG	2020-12-28	
EPI_ISL_1009679	A/duck/Korea/H007/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-12-28	
EPI_ISL_1009681	A/chicken/Korea/H541/2020	A / H5N8	Avian	Asia / Korea, Republic of / CN	2020-12-29	
EPI_ISL_1009684	A/duck/Korea/H548/2020	A / H5N8	Avian	Asia / Korea, Republic of / JB	2020-12-30	
EPI_ISL_369336	A/chicken/South Africa/Villiers/2017	A / H5N8	Chicken	Africa / South Africa	2017-06-19	
EPI_ISL_369338	A/chicken/South Africa/436893/2017	A / H5N8	Chicken	Africa / South Africa	2017-07-06	
EPI_ISL_369340	A/chicken/South Africa/440638B/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-01	
EPI_ISL_369339	A/chicken/South Africa/440638A/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-01	
EPI_ISL_285488	A/Ostrich/South_Africa/S2017/08_0047_P7/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_285604	A/Ostrich/South_Africa/S2017/08_0046_P3/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_285650	A/Ostrich/South_Africa/S2017/08_0046_AF/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_285936	A/Ostrich/South_Africa/S2017/08_0046_P11/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-03	
EPI_ISL_369341	A/chicken/South Africa/441587/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-04	
EPI_ISL_285616	A/Ostrich/South_Africa/S2017/08_0161_P8/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-11	
EPI_ISL_381813	A/Guinea fowl/South Africa/17080243/2017	A / H5N8	Guinea fowl	Africa / South Africa	2017-08-16	
EPI_ISL_381814	A/Guinea fowl/South Africa/17080274/2017	A / H5N8	Guinea fowl	Africa / South Africa	2017-08-16	
EPI_ISL_285610	A/Guineafowl/South_Africa/S2017/08_0274_P1/2017	A / H5N8	Guineafowl	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_285617	A/Guineafowl/South_Africa/S2017/08_0243_P1/2017	A / H5N8	Guineafowl	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_285652	A/Guineafowl/South_Africa/S2017/08_0243_P2/2017	A / H5N8	Guineafowl	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_285942	A/Wildbirds_Guineafowl_Makou_Egyptian Geese/South_Africa/S2017/08_0275_P5/2017	A / H5N8	Guineafowl	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_285938	A/Ostrich/South_Africa/S2017/08_0268_P5/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-16	
EPI_ISL_284004	A/Chicken/South_Africa/S2017/08_0336_P3/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-21	Domestic
EPI_ISL_285512	A/Chicken/South_Africa/S2017/08_0336_P1/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-21	
EPI_ISL_285944	A/Chicken/South_Africa/S2017/08_0336_P2/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-21	
EPI_ISL_284198	A/Ostrich/South_Africa/S2017/08_0361_P17/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285480	A/Ostrich/South_Africa/S2017/08_0362_P10/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	Domestic
EPI_ISL_285509	A/Ostrich/South_Africa/S2017/08_0362_P11/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285945	A/Ostrich/South_Africa/S2017/08_0361_P12/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285606	A/Duck/South_Africa/S2017/08_0340_P1/2017	A / H5N8	Duck	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285607	A/Duck/South_Africa/S2017/08_0340_P2/2017	A / H5N8	Duck	Africa / South Africa / Province of the Western Cape	2017-08-22	
EPI_ISL_285623	A/Chicken/South_Africa/S2017/08_0416_38/2017	A / H5N8	Chicken	Africa / South Africa / Province of the Western Cape	2017-08-23	
EPI_ISL_369348	A/Pekin duck/South Africa/17080481/2017	A / H5N8	Anas platyrhynchos	Africa / South Africa	2017-08-24	
EPI_ISL_285937	A/Ostrich/South_Africa/S2017/08_0484_P1/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-24	
EPI_ISL_285947	A/Ostrich/South_Africa/S2017/08_0484_P2/2017	A / H5N8	Ostrich	Africa / South Africa / Province of the Western Cape	2017-08-24	
EPI_ISL_285625	A/Duck/South_Africa/S2017/08_0481_P2/2017	A / H5N8	Duck	Africa / South Africa / Province of the Western Cape	2017-08-24	
EPI_ISL_285647	A/Geese/South_Africa/S2017/08_0520_46/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-08-28	
EPI_ISL_285609	A/Geese/South_Africa/S2017/08_0558_P2/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-08-29	Domestic
EPI_ISL_285657	A/Chicken/South_Africa/S2017/08_0561_P2/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-29	
EPI_ISL_369351	A/chicken/South Africa/17080581/2017	A / H5N8	Chicken	Africa / South Africa	2017-08-30	
EPI_ISL_285915	A/Chicken/South_Africa/S2017/08_0581_P1/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-08-30	
EPI_ISL_369352	A/chicken/South Africa/17090050/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-04	
EPI_ISL_378312	A/Domestic goose/South Africa/17090065/2017	A / H5N8	Domestic goose	Africa / South Africa	2017-09-04	
EPI_ISL_285602	A/Geese/South_Africa/S2017/09_0065_P2/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-09-04	
EPI_ISL_285648	A/Geese/South_Africa/S2017/09_0055_P1/2017	A / H5N8	Goose	Africa / South Africa / Province of the Western Cape	2017-09-04	
EPI_ISL_285624	A/Chicken/South_Africa/S2017/09_0050_56/2017	A / H5N8	Chicken	Africa / South Africa / Province of the Western Cape	2017-09-04	
EPI_ISL_365299	A/chicken/South Africa/17090108/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-06	
EPI_ISL_369353	A/chicken/South Africa/17090100/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-06	
EPI_ISL_285649	A/Chicken/South_Africa/S2017/09_0184_63/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-09-08	
EPI_ISL_285917	A/Chicken/South_Africa/S2017/09_0184_62/2017	A / H5N8	Gallus gallus domesticus	Africa / South Africa / Province of the Western Cape	2017-09-08	
EPI_ISL_369357	A/chicken/South Africa/449300/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-16	
EPI_ISL_369359	A/chicken/South Africa/449418/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-18	
EPI_ISL_369361	A/chicken/South Africa/17090335/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-18	
EPI_ISL_369362	A/turkey/South Africa/450199/2017	A / H5N8	Turkey	Africa / South Africa	2017-09-19	
EPI_ISL_369363	A/chicken/South Africa/115370/2017	A / H5N8	Chicken	Africa / South Africa	2017-09-23	
EPI_ISL_505431	A/quail/South Africa/AI5930/2018	A / H5N8	Quail	Africa / South Africa	2018-04-06	
EPI_ISL_505432	A/chicken/South Africa/499723/2018	A / H5N8	Chicken	Africa / South Africa	2018-06-06	
EPI_ISL_405278	A/guinea_fowl/Nigeria/OG-GF11T_19VIR8424-7/2019_H5N8	A / H5N8	Guineafowl	Africa / Nigeria / Ogun State	2019-07-05	Domestic
